epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,630.043,0.57083,0.40299,0.00818,0.93363,0.88391,0.94396,0.80325,0.74478,0.49934,0.01836,0.000222875,0.000222875,0.000222875
85,637.662,0.55956,0.38751,0.00784,0.93487,0.89517,0.94596,0.80855,0.73537,0.45429,0.0181,0.0002105,0.0002105,0.0002105
86,645.024,0.55675,0.38318,0.00786,0.93181,0.88171,0.94191,0.8024,0.73554,0.4924,0.01808,0.000198125,0.000198125,0.000198125
87,652.341,0.55847,0.39443,0.00786,0.88476,0.91664,0.9409,0.79876,0.74276,0.49158,0.01831,0.00018575,0.00018575,0.00018575
88,659.696,0.55337,0.38533,0.00775,0.93224,0.89685,0.94773,0.80826,0.74029,0.47148,0.01845,0.000173375,0.000173375,0.000173375
89,667.162,0.53805,0.37172,0.00743,0.95345,0.88648,0.94719,0.80633,0.73438,0.46472,0.01802,0.000161,0.000161,0.000161
90,674.47,0.5494,0.39203,0.00751,0.93232,0.90107,0.95644,0.81587,0.73537,0.42407,0.01828,0.000148625,0.000148625,0.000148625
91,698.453,0.43271,0.25187,0.00759,0.92005,0.90369,0.93006,0.78306,0.76115,0.5534,0.01913,0.00013625,0.00013625,0.00013625
92,705.64,0.40952,0.19482,0.00693,0.92972,0.90653,0.93493,0.79521,0.74635,0.48807,0.01849,0.000123875,0.000123875,0.000123875
93,712.937,0.41078,0.20058,0.00702,0.90867,0.91281,0.93979,0.80414,0.73679,0.46802,0.01799,0.0001115,0.0001115,0.0001115
94,720.039,0.3988,0.1915,0.00666,0.93748,0.8848,0.9372,0.80436,0.74257,0.457,0.01801,9.9125e-05,9.9125e-05,9.9125e-05
95,727.253,0.38686,0.17734,0.00646,0.91666,0.89174,0.93725,0.8043,0.72958,0.46573,0.0177,8.675e-05,8.675e-05,8.675e-05
96,734.5,0.38528,0.18673,0.00643,0.92903,0.89793,0.94195,0.80924,0.72148,0.46211,0.01739,7.4375e-05,7.4375e-05,7.4375e-05
97,741.835,0.38787,0.18425,0.00649,0.92582,0.88972,0.94363,0.80715,0.72402,0.4602,0.01747,6.2e-05,6.2e-05,6.2e-05
98,749.275,0.39032,0.19331,0.00667,0.92598,0.89445,0.94242,0.80946,0.72248,0.46683,0.01741,4.9625e-05,4.9625e-05,4.9625e-05
99,756.53,0.38766,0.19161,0.00655,0.94531,0.89202,0.94125,0.80669,0.72036,0.47882,0.01735,3.725e-05,3.725e-05,3.725e-05
100,763.682,0.3813,0.18213,0.00639,0.96239,0.86412,0.94163,0.80525,0.71793,0.47384,0.0173,2.4875e-05,2.4875e-05,2.4875e-05
