epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1427.6,0.52066,0.32225,0.00759,0.94759,0.90455,0.95612,0.82139,0.73445,0.43843,0.01794,0.00026,0.00026,0.00026
82,1445.23,0.52154,0.32227,0.00776,0.96493,0.91756,0.95692,0.81974,0.73783,0.40825,0.01796,0.000247625,0.000247625,0.000247625
83,1462.85,0.52051,0.31031,0.00765,0.95374,0.91481,0.95458,0.82072,0.72871,0.41639,0.01789,0.00023525,0.00023525,0.00023525
84,1480.41,0.5365,0.33316,0.00802,0.96404,0.90792,0.95637,0.8158,0.77247,0.40714,0.01918,0.000222875,0.000222875,0.000222875
85,1498.09,0.51931,0.32068,0.00756,0.9582,0.9274,0.95986,0.81642,0.75959,0.41097,0.01857,0.0002105,0.0002105,0.0002105
86,1515.77,0.52389,0.31112,0.00765,0.96132,0.91461,0.95052,0.81597,0.75244,0.43729,0.01845,0.000198125,0.000198125,0.000198125
87,1533.36,0.51363,0.31201,0.00744,0.95239,0.91762,0.95022,0.82117,0.74801,0.44127,0.01842,0.00018575,0.00018575,0.00018575
88,1551.03,0.52037,0.30194,0.00759,0.96516,0.90533,0.94761,0.81633,0.74247,0.44662,0.01817,0.000173375,0.000173375,0.000173375
89,1568.81,0.49775,0.30064,0.00711,0.96037,0.90803,0.94925,0.82226,0.7278,0.43604,0.01768,0.000161,0.000161,0.000161
90,1586.37,0.49645,0.29967,0.007,0.96992,0.90209,0.95144,0.8231,0.72571,0.42467,0.01764,0.000148625,0.000148625,0.000148625
91,1620.43,0.38615,0.19197,0.00722,0.9326,0.92595,0.95014,0.82009,0.75065,0.42585,0.01867,0.00013625,0.00013625,0.00013625
92,1638.05,0.3564,0.1546,0.00629,0.94629,0.89882,0.94265,0.81233,0.75221,0.47639,0.01865,0.000123875,0.000123875,0.000123875
93,1655.61,0.36308,0.15769,0.00649,0.94795,0.91514,0.94541,0.81903,0.74439,0.44215,0.01835,0.0001115,0.0001115,0.0001115
94,1672.8,0.35923,0.14356,0.00629,0.96574,0.90059,0.95173,0.81978,0.74195,0.45583,0.01827,9.9125e-05,9.9125e-05,9.9125e-05
95,1689.81,0.34157,0.13836,0.00597,0.93519,0.92782,0.94989,0.82446,0.73415,0.4484,0.01809,8.675e-05,8.675e-05,8.675e-05
96,1706.79,0.34144,0.14199,0.00604,0.9455,0.92241,0.94831,0.82475,0.73377,0.44245,0.0179,7.4375e-05,7.4375e-05,7.4375e-05
97,1723.9,0.34091,0.13911,0.00592,0.93712,0.91922,0.94897,0.82183,0.7368,0.44519,0.01805,6.2e-05,6.2e-05,6.2e-05
98,1741.61,0.33893,0.14182,0.00597,0.96382,0.90803,0.95248,0.82452,0.73644,0.43895,0.01798,4.9625e-05,4.9625e-05,4.9625e-05
99,1759.28,0.33261,0.14144,0.0058,0.95106,0.91606,0.94821,0.82078,0.73234,0.4421,0.01786,3.725e-05,3.725e-05,3.725e-05
100,1776.28,0.32978,0.13777,0.00571,0.94817,0.92004,0.94812,0.82437,0.73363,0.4357,0.01784,2.4875e-05,2.4875e-05,2.4875e-05
