epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,739.505,0.53261,0.32486,0.00762,0.96978,0.904,0.95451,0.82088,0.70521,0.40851,0.01701,0.00018575,0.00018575,0.00018575
88,748.147,0.53151,0.32407,0.00761,0.97482,0.90225,0.96294,0.8287,0.70486,0.40156,0.01679,0.000173375,0.000173375,0.000173375
89,756.849,0.50816,0.31667,0.00724,0.94104,0.92419,0.95724,0.82786,0.70751,0.40971,0.01705,0.000161,0.000161,0.000161
90,765.498,0.50837,0.32223,0.00709,0.94986,0.92771,0.96172,0.82392,0.70492,0.41442,0.01692,0.000148625,0.000148625,0.000148625
91,790.08,0.39912,0.1912,0.00727,0.94915,0.9035,0.94652,0.80856,0.72435,0.47526,0.01792,0.00013625,0.00013625,0.00013625
92,798.585,0.374,0.1634,0.00649,0.95221,0.88794,0.94684,0.80807,0.72689,0.47447,0.01777,0.000123875,0.000123875,0.000123875
93,807.095,0.37351,0.16145,0.00657,0.97246,0.88929,0.95295,0.81666,0.7277,0.4565,0.01772,0.0001115,0.0001115,0.0001115
94,815.607,0.36443,0.15619,0.00627,0.94986,0.89327,0.94572,0.81163,0.71963,0.47732,0.01745,9.9125e-05,9.9125e-05,9.9125e-05
95,824.168,0.35141,0.14411,0.00609,0.96725,0.89852,0.94934,0.8125,0.71532,0.47401,0.01739,8.675e-05,8.675e-05,8.675e-05
96,832.739,0.36041,0.15484,0.00625,0.94893,0.89952,0.94051,0.80952,0.71838,0.47173,0.01743,7.4375e-05,7.4375e-05,7.4375e-05
97,841.32,0.35592,0.15045,0.00613,0.95524,0.89731,0.93958,0.81024,0.71681,0.45756,0.01729,6.2e-05,6.2e-05,6.2e-05
98,849.911,0.35573,0.15762,0.00615,0.96499,0.89308,0.94519,0.81432,0.71863,0.46332,0.0174,4.9625e-05,4.9625e-05,4.9625e-05
99,858.611,0.35458,0.14608,0.00615,0.96377,0.89331,0.94364,0.81247,0.72098,0.45896,0.01749,3.725e-05,3.725e-05,3.725e-05
100,867.043,0.3463,0.14696,0.00587,0.95334,0.90599,0.94867,0.81749,0.72017,0.44675,0.01746,2.4875e-05,2.4875e-05,2.4875e-05
